run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	submission_accession	tax_id	scientific_name	library_strategy	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_md5	fastq_bytes	submitted_md5	submitted_bytes	submitted_format	center_name	broker_name	first_public	last_updated
ERR271391	ERX245618	SAMEA1886528	PRJEB673	ERP001991	ERA211703	7955	Danio rerio	RNA-Seq	TRANSCRIPTOMIC	cDNA	ILLUMINA	Illumina HiSeq 2000	6254897	938234550	45a238a67208bd702dc9d8356832b71d;39ba9d173ecbd4595c06aee312d53b03	437914350;455106787	1649fe545d7cfaafe3e510d8af2f6f6e	964557293	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR271397	ERX245624	SAMEA1886567	PRJEB1215	ERP002057	ERA211704	10090	Mus musculus	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	97023496	19404699200	c508f80ea7bd502c4bf5cac32d4e8d14;ed3be817044abcc778fb6330489f56e1	8362428040;8938749974	95eba7783b6d9f55e2549dbc21f3f290	17999522186	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR268250	ERX242647	SAMEA1906671	PRJEB1891	ERP002565	ERA211549	3329	Picea abies	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	100084785	20217126570	61eb069040899c02f1f6f7bf5e9311a2;0d551aec55981710c9030574b47cb9b6	9206568615;8948177527	e99a908cbaf6cb4f6386f75f1381c635	18170349457	FASTQ	Umea Plant Science Centre;UPSC		2013-05-21	2018-11-16
ERR271398	ERX245625	SAMEA1886578	PRJEB1215	ERP002057	ERA211704	10090	Mus musculus	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	90514784	18102956800	fdb29d1e97c80e0761c6fdd6b63dd942;fd4528e2af81c1b7cfca666e9c7cccb9	8021174118;8681016914	a8838e82b340c835a1725344e27dca26	17598916619	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR267941	ERX242437	SAMEA1906621	PRJEB1879	ERP002552	ERA210144	4783	Phytophthora	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2245	453490	c044ac2d475f6996a12e02d3936f6b16;bd858107497fb2b2352a2ced05a59853	172034;183145	5126c2265700067fd0eb763f742e343d;72c6e4b8183bfb8536104fdca3af498f	181998;194694	FASTQ;FASTQ	Max Planck Institute for Developmental Biology;Tuebingen;Germany;MPI-TUEBINGEN		2013-05-22	2018-11-16
SRR822792	SRX262472	SAMN01999389	PRJNA196490	SRP020629	SRA072536	447135	Myodes glareolus	OTHER	GENOMIC	Reduced Representation	ILLUMINA	Illumina HiSeq 2000	2209044	141378816	10657d7b33ad439f4b9ad6e402ae941f	116549959				University of Bern		2013-05-27	2020-06-02
ERR271408	ERX245635	SAMEA1886569	PRJEB1215	ERP002057	ERA211704	10090	Mus musculus	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	81205495	16241099000	0acc323a7fd5eb0355f00b3bd10dea9c;474d167dcbd78106dc32b48bdff69725	6907105017;7675839857	69794a2bbbe92eab57c2423f44e78211	15384236392	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
SRR850022	SRX277192	SAMN01908649	PRJNA67229	SRP022359	SRA075930	69004	Anopheles farauti	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	17040750	3442231500	540204de909b5fd95488f0b61379a4f7;25ac034305af665d52823f78843270fb	1457471266;1445717177				BI		2013-05-25	2019-11-28
ERR271416	ERX245643	SAMEA1886563	PRJEB1215	ERP002057	ERA211704	10090	Mus musculus	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	119506821	23901364200	b2d73a796252a4ab6688c64c75ad39d2;ea8aa28c401c8e75125fa5239f3cbcea	10258236880;10863851891	83b162f869077ba81e71a346a7dc9369	21221121444	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR271417	ERX245644	SAMEA1886564	PRJEB1215	ERP002057	ERA211704	10090	Mus musculus	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	99701666	19940333200	60b4429fd4d545f5f49a2e13444caba1;1bb2a4ebcdd7c2c1f87cff84435eb9cb	8573855945;9229228961	85cc3cb2d2a23ee1e7e597771d99d3c3	18014526752	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
ERR271432	ERX245659	SAMEA1886672	PRJEB1343	ERP002163	ERA211705	562	Escherichia coli	WGS	GENOMIC	RANDOM	ILLUMINA	Illumina HiSeq 2000	2528728	505745600	9a41366e72057899084d4aaba7fc3584;add5339694da5affd58819e5ff891cc8	232406373;245678029	6d22ce2d4e5751f32f507682ffffd986	447869115	BAM	Wellcome Sanger Institute;SC		2013-05-07	2018-11-16
