run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	submission_accession	tax_id	scientific_name	library_strategy	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_md5	fastq_bytes	submitted_md5	submitted_bytes	submitted_format	center_name	broker_name	first_public	last_updated
DRR002237	DRX001663	SAMD00012922	PRJDB2592	DRP000621	DRA000590	34615	Ixodes persulcatus	WGS	GENOMIC	RANDOM	LS454	454 GS FLX Titanium	37667	20941861	e8327c747ac1d42332b171586825dec5	11225957				HU-RCZC		2013-05-07	2015-06-19
DRR002238	DRX001664	SAMD00012926	PRJDB2592	DRP000621	DRA000590	34615	Ixodes persulcatus	WGS	GENOMIC	RANDOM	LS454	454 GS FLX Titanium	35544	17030492	55449de58db7a430acec203a59851749	2866127				HU-RCZC		2013-05-07	2015-06-19
DRR002248	DRX001668	SAMD00012921	PRJDB2592	DRP000621	DRA000590	44386	Haemaphysalis longicornis	WGS	GENOMIC	RANDOM	LS454	454 GS FLX Titanium	3206	2286142	0ccd0012f17dcd62941ef189089f052f	219758				HU-RCZC		2013-05-07	2015-06-19
DRR002428	DRX001820	SAMD00016597	PRJDB2822	DRP000641	DRA000610	1006554	Acetobacter pasteurianus NBRC 101655	OTHER	GENOMIC	RANDOM	ILLUMINA	Illumina Genome Analyzer II	6153702	221533272	1a989269ef339c0de2edba052aa9e1dd	234483992				YAMAGU_U		2013-05-29	2020-03-31
ERR034803	ERX013141	SAMEA1888704;SAMEA1888706;SAMEA1888705;SAMEA1888708;SAMEA1888709;SAMEA1888707	PRJEB2548	ERP000690	ERA031642	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3989917	275304273	fd2f9396b5a25de21fe07e9d66e9d27e	164059908	6f14ac4bb96038c165ce93fb78bad95f	171105942	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-14	2018-11-16
ERR034804	ERX013141	SAMEA1888704;SAMEA1888706;SAMEA1888705;SAMEA1888708;SAMEA1888709;SAMEA1888707	PRJEB2548	ERP000690	ERA031642	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3252813	224444097	dea25fed51bf495cc3fc8079bb54c76f	132009479	0070451096d137b371615845ee9bc644	137666031	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-14	2018-11-16
ERR034810	ERX013142	SAMEA1905283;SAMEA1905282;SAMEA1905286;SAMEA1905287;SAMEA1905284;SAMEA1905285	PRJEB2549	ERP000691	ERA032015	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3472117	239576073	ee3034a5bb57a511258d014a399be1c1	134684023	cf28ffe041c162e20862a128fe63d380	140724004	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-21	2018-11-16
ERR034812	ERX013142	SAMEA1905283;SAMEA1905282;SAMEA1905286;SAMEA1905287;SAMEA1905284;SAMEA1905285	PRJEB2549	ERP000691	ERA032015	103927	Plum pox virus SK 68	FL-cDNA	VIRAL RNA	RT-PCR	ILLUMINA	Illumina Genome Analyzer II	3426090	236400210	28fddfe47e0321ea8a428d7afc751a32	134627959	ab17267f6bf419cdd25be516ff381829	140656054	ILLUMINA_NATIVE_FASTQ	University of Glasgow;BAH-GU		2013-05-21	2018-11-16
ERR145113	ERX121081	SAMEA1888963	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	14077687	253398366	6afea84cb61692866fec5e236f92d92e	307096481	5b542506a62d3782166584c3dbadc7c4	305075546	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145115	ERX121044	SAMEA1888963	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	15007133	270128394	54557cfb1051a9c91dc42611c6cd5fb9	322202503	399e7f158e84fa4e04b12bf21a82fced	319932088	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145122	ERX121043	SAMEA1888969	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	9638896	347000256	580655e6486828f9c807aad981efac19	244785797	a674757d5ba8296c1c3a2f10b3662d9e	214429105	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145132	ERX121088	SAMEA1888968	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	12772431	280993482	cf62c65013f1e4e1334ed123561054af	231983438	828bae8c499c7bde0beb34d62b36e9c6	190554552	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145133	ERX121062	SAMEA1888968	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	10453926	229986372	a918efdf73fc1d08e6ed814bc3c4893f	188182442	9043af95a9d49192f5708b115e765ebe	154322984	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145147	ERX121119	SAMEA1888971	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	8288591	182349002	151052050f5c2a6e7e516d6fd6298f15	140269538	128085c11c8bff2e1c7a12d3b705d797	113830106	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145148	ERX121116	SAMEA1888971	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	9376739	206288258	2d6771ddc36cd771c087c3eabf8f77c1	160771670	e9074fd9b5c4bf1649fef01b080ad7d7	130877644	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145150	ERX121057	SAMEA1888973	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	35178044	633204792	584be417d88ce6ccad8f4ce72f93a766	795379537	b4eccfe94732a9d7c4e6a14c32fbae88	799984765	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145165	ERX121087	SAMEA1888981	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	16771701	301890618	fc3107713e9785caacb41c22821d8890	405613695	323378f3bafc43a774fbdfb5e046ac68	403375405	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145169	ERX121050	SAMEA1888967	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	11978373	215610714	45b9acbbf4ed4c1c11e87928f0104dec	282449963	42e225f4d7935e011fa331755f150139	283753612	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145174	ERX121064	SAMEA1888967	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	16081574	289468332	5ce407efa2b176ddeee9a0aa05dc8114	350188550	00e89810bdc74823b45825c37455bb41	349670754	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145176	ERX121078	SAMEA1888965	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	14014401	252259218	76216029bfbc39868683aaa1614a5e19	342836199	e8cf3ccfbb211ff712c1fc616521e146	340812365	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145181	ERX121063	SAMEA1888965	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	13027881	234501858	b2bb482f36703088376cac9bbcac21b5	306074319	f309cd7c85ee1acd7b44f0713d3243d2	305317316	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145182	ERX121117	SAMEA1888965	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	12503059	225055062	f486f32753efba4e11d339c8a53d36b7	272178431	38c050b9758a91115c399e36c0cfc7e0	271843285	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145196	ERX121066	SAMEA1888980	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	14864798	267566364	f8e19752aef81a52804e7ab8138a7407	257028652	037bc4afd7c159b81a505f86d95a9a58	206755281	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145201	ERX121053	SAMEA1888980	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	15158660	272855880	e7cb1033253090d07ed569f4844e45b5	230868453	d4d5273a2e44f29a5f87ba276f4536e5	180535005	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR145202	ERX121074	SAMEA1888970	PRJEB3108	ERP001544	ERA140036	9606	Homo sapiens	OTHER	TRANSCRIPTOMIC	other	ILLUMINA	Illumina Genome Analyzer II	4070567	207598917	689ac36cc5b059d85f87e60a68fe78b4	160393298	0507bc0b7239d7fd88575098202fb63b	164325265	FASTQ	European Bioinformatics Institute;LGTC	ArrayExpress	2013-05-14	2018-11-16
ERR163060	ERX138934	SAMEA1877067	PRJEB3219	ERP001723	ERA153239	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	2557914	184169808	b203d9d4c0c1f28f36c4e55a1add596a;fb42e879021f841f99ee6ea333c74fbd	74656968;79736959	e8f2c73bef01aecc184aaa0da997dac7;edfbb3f52b75f970609f03a79b7377d7	66565334;71139647	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163062	ERX138936	SAMEA1877067	PRJEB3219	ERP001723	ERA153239	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	8135651	585766872	5c950fa3ecc496322d66fc429b9af9ca;4ad7f7b2f7e6d00713e0501823caf452	263719918;313155537	abcbbe1008d8420988b88d18aae8071c;bafc92d262e2ae41a01e5c4a26603abb	237479435;284323231	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163064	ERX138938	SAMEA1877066	PRJEB3219	ERP001723	ERA153240	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	11663213	839751336	eacb70a0f51935621cfa4eced6dab532;8831c378c2c13dc8cf08f8ac1d949792	485970419;487253951	c53bb1384f190fb20ed5003c80b99712;d25a57f2a0752a77b04e3b410f03981f	445662342;447372321	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163072	ERX138946	SAMEA1877066	PRJEB3219	ERP001723	ERA153240	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	13890575	2083586250	4f0c18d0982829882e8aefafd746aa5c;41a207f9757b0c58de717a9f93c8d4b3	1084661785;1087211266	ecb18dece6723f91102aee19f662ec11;c275e6725ace3ba6baa107ca154017b8	1029958679;1032816130	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163074	ERX138948	SAMEA1877066	PRJEB3219	ERP001723	ERA153240	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	14875899	2231384850	bbf34afacf10966b1e7523c83e062e8a;d5209d89b94162e1cac912489aa1dc74	1152267227;1152703143	fc1d558103f609c0de21c355f4c716f7;309fd3d7e10972b5f891ab35ef0e483a	1093584566;1094351191	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163078	ERX138952	SAMEA1877066	PRJEB3219	ERP001723	ERA153240	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	9111777	1366766550	1a5a74f87fa348b86cf5a5c79b1d5f9d;0dfdafffd8d3f6879875b601ec89ecd8	686876473;695359058	9f7413ff67ced304c544e52516b0588d;edcc92e35eb0b388a2eb6034a5c94021	650495336;659337937	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163079	ERX138953	SAMEA1877066	PRJEB3219	ERP001723	ERA153240	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	8293980	1244097000	530b671a084c160f9b58a5acf3e317f2;122f4cf63462faed0f298ba0460cbd9f	616928107;619445411	7eb86b8dc9339e0c166265e4a19ac123;99da3f7a9cf1c79be4b36ab77147032e	583864475;586782146	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163082	ERX138956	SAMEA1877066	PRJEB3219	ERP001723	ERA153240	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	14773392	2216008800	b0a537c03ed5204dbeb69cd12c5e92be;8a7ff059850e1086887b6407c9bb0cb8	1064480646;1085804989	18940e97afd30cb194d6e3f6757bfc82;37a0d0f63db121a9769a203a15852dfb	1005869078;1028643228	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163083	ERX138957	SAMEA1877066	PRJEB3219	ERP001723	ERA153240	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	15114315	2267147250	6e73d744d9bf55c808db9a17ec4a03ad;bd539f1c884ada2a717220e1624f1add	1088090906;1106945843	28eccf2c0b0ef5b5f5153a896aa025db;8df7fbbe06d6f3eaba06bf0202411519	1028231383;1047695644	FASTQ;FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163085	ERX138962	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	17791694	1334377050	7bf5da71684d0ae61231e257ad6421fa	1349781807	56bc6680646ec9353109a76ccf8a5038	1278285631	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163086	ERX138963	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	19533230	1464992250	d749d926f43dcb0b3bc4dcba52c08c95	1475577325	0488803b61e1535bc543a60b38d6e0c5	1396788396	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163089	ERX138966	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	19897478	1492310850	8d08a8a901d88330af4ae93f86b9ece7	1479175149	7e253bcac24517fd2c7d9ef8423fe248	1398946412	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163090	ERX138967	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	19076997	1430774775	330538def5bbb3a8b2dada57696bd755	1415600613	2c27e5975e36f15a9fcaedb933fc8f39	1338879419	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163093	ERX138970	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	398226	13539684	0f3def23fffa2f7d8fb5b4e2fe5b52f9	9719622	9a969d41509f8eb02a1e44217f46ff21	8461372	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163099	ERX138976	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	972575	35012700	0c1a1d6d866edf647c1d15c56668fbdc	32275694	46e1e5d9deb483944ceb097bd1dd1fa2	28880012	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163101	ERX138978	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	731584	26337024	aaff490a0352f80321367601053c5e72	22840528	936c13a879d002db0cd43aceaeb60f37	20299699	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163112	ERX138989	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	11558171	670373918	f61fe84477f932f08209db9ce89e0af3	712820973	89283a09e6ce07db13ce51faa07ff378	671500325	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163118	ERX138995	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	10218461	766384575	719c4a7767810c181d100b700f52658f	740649664	03cfe92f5cc557862e9810aa6cf30d09	706763617	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163119	ERX138996	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	5160192	387014400	5605cf76f4d0b36c96f9bf6806578419	349146271	e2df29688e6575c7e509355bd45a86b4	331695661	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR163130	ERX139007	SAMEA1877065	PRJEB3219	ERP001723	ERA153242	7955	Danio rerio	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer IIx	10457594	794777144	199de377e2b798a5ac450474fdada1cd	741138284	6cac5d7b06aa01e5c20e610e2021c52b	704387281	FASTQ	Institute of Genomics and Integrativie Biology;Delhi;India;IGIB		2013-05-01	2018-11-16
ERR167194	ERX143080	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	12653481	961664556	1644f32366ca12c43f91ec0ef5aff64e	936552002	660bf01ee0a4d169ed21db75cd4ecfa3	948573032	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167197	ERX143083	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	17181050	1305759800	172d5d89eaa78240a95864ccce425fc0	1256938086	25383ef7089c81aeee765a88cc1303f8	1278458966	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167200	ERX143086	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	7524054	571828104	0d32459f31732ab90d49d129182e13c4	548469442	372f11433104a65b36fa3b20401ce31a	558485237	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167206	ERX143092	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	7036886	534803336	65a774c3304c188d3bab9565f5c78b55	513187603	c89513a3897b4e6bc98840525ae34714	520214619	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167212	ERX143098	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	7958558	604850408	5278dd3165ffa9a9765a00c64f957161	581369597	da6508c4d440681e5a271eb41cb1fe0d	589537953	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167217	ERX143103	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	8908588	677052688	0d9d1842d7daadba536b2b16a42ed66c	643754177	3bc1dfc9630355cb4a240fd054c72b97	654275841	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167227	ERX143113	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	8759397	665714172	e162ae8565e9cff98a94d3c531e1eebf	655430261	47dd902846569800b8e972dea95506ba	665731980	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167232	ERX143118	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	10664200	810479200	310dcd8f50f7d6ad5557085f6613ec78	791516004	f134f1d9ea47bb417143f6d75a0a856b	803261043	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167236	ERX143122	SAMEA1905311	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	5607089	426138764	64728f40ed8216b7e33259cfe8ea68fd	398503112	8a2615fefb9e8db50bb3f6e8ab75047b	405174642	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167242	ERX143128	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	18335358	1393487208	8c4f4b2a7f58a1a7504980dbefc5ed9a	1339383950	6b958587fd0570860fa9708e1f5a41ba	1361810501	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167243	ERX143129	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	17256203	1311471428	77383a48d8aa6e90ae7f57ac1e9fcbe0	1245534781	822972eba61298d1dc15a980279d1a64	1267810345	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167248	ERX143134	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	6761907	513904932	9f4d1b84b3ec6f2fc94bcfc02b1f4630	484695839	80d33c38cc89d5b364c154361fc898f6	491825804	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167252	ERX143138	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	7809895	593552020	ebc5ac3bd0e015d9388bd23fcd070a64	545030465	2785601d0bb532e5db59396948eb4475	555932175	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167255	ERX143141	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	7603379	577856804	7892c3c3173f498689786baa5a6fa49f	544308789	dab4e409b9628f538a2b0f6627aba7d0	554806267	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167258	ERX143144	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	8490453	645274428	1917daf3e766f274e84f3a622068d5cd	551054379	b8a81625ab99575dc30b4e7128cc6640	559413298	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167266	ERX143152	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	7396357	562123132	a184de99c0ee7ea18c09060129d64ef5	534339951	6b6eb3b47d9e22be447e08d6c028bc08	542611134	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167269	ERX143155	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	4234636	321832336	ad8ef50fc1f7098b1f4da861b3651525	294225551	29ab017dec0e27d33fcf4b7992767889	298982955	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167272	ERX143158	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	5486292	416958192	3ac45083c6ea19360eb97b4701df07c6	396082970	3b5dbc0511f46af3535f7893d33b4508	402690763	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167286	ERX143172	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	6418820	487830320	4403842d428818b0948da3bc66406cde	459569669	2dbf9c6100808fdc215cd09c63ca602c	467331529	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167291	ERX143177	SAMEA1905308	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	13631763	1063277514	7678c72a32591af6906ca570b49ef190	908343140	4f43c757c6b0d3d6270da3c1fbb8f9fe	930784143	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
ERR167323	ERX143209	SAMEA1905307	PRJEB3239	ERP001765	ERA156711	4097	Nicotiana tabacum	OTHER	GENOMIC	unspecified	ILLUMINA	Illumina Genome Analyzer II	9593376	748283328	b21fe88392dbc75dd1ed0beedb1c140c	649229960	3872470dd06627bd5bf104b366dc8cfc	665325873	FASTQ	Philip Morris International R&D;Switzerland;PMI		2013-05-21	2018-11-16
