runA	runB	studyA	studyB	nameA	nameB	relation	prior	stat_identical	suppA	suppB	topA	verdict
ERR1654680	ERR2707077	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0352	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1654702	ERR2707198	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.036	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR990716	ERR993550	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Bacteroides stercoris', 2.5), ('Dialister invisus', 1.0), ('Streptococcus thermophilus', 0.3)]	species-level reads support neither
ERR990702	ERR993545	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('[Clostridium] spiroforme', 0.3), ('Clostridium sp. CL-2', 0.2), ('Dialister invisus', 0.1)]	species-level reads support neither
ERR990691	ERR993538	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Clostridium sp. CL-2', 0.8), ('Streptococcus thermophilus', 0.1), ('Coxiella burnetii', 0.1)]	species-level reads support neither
ERR1654693	ERR2707132	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0359	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support B only
ERR842803	ERR843262	PRJEB9004	PRJEB9031	uncultured archaeon	uncultured bacterium	same_genus	EXACT_md5	True	None	None	[('Ochrobactrum anthropi', 1.1), ('Streptococcus thermophilus', 0.3), ('Flavobacterium rivuli', 0.1)]	untestable (no species-level claim on either side)
ERR842803	ERR863840	PRJEB9004	PRJEB9160	uncultured archaeon	uncultured bacterium	same_genus	EXACT_md5	True	None	None	[('Ochrobactrum anthropi', 1.1), ('Streptococcus thermophilus', 0.3), ('Flavobacterium rivuli', 0.1)]	untestable (no species-level claim on either side)
ERR1465969	ERR553131	PRJEB11460	PRJEB7727	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.076	None	[('Mycobacterium tuberculosis', 7.6), ('Mycobacterium canettii', 0.2), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1465731	ERR550810	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0314	None	[('Mycobacterium tuberculosis', 3.1), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1347769	ERR1543590	PRJEB13242	PRJEB14753	Mus musculus	Homo sapiens	same_higher_depth9	EXACT_md5	False	0.9245	0.0	[('Mus musculus', 92.4), ('Helicobacter suis', 0.0)]	species-level reads support A only
ERR1465860	ERR551413	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0319	None	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR990683	ERR993535	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('[Clostridium] spiroforme', 1.0), ('Clostridium sp. CL-2', 0.6), ('Streptococcus thermophilus', 0.3)]	species-level reads support neither
ERR1730308	ERR1802354	PRJEB17923	PRJEB19110	Picea wilsonii	Picea sitchensis	same_genus	EXACT_md5	False	0.0	0.0	[('Brassica napus', 1.2), ('Ricinus communis', 0.8), ('Gossypium hirsutum', 0.7)]	species-level reads support neither
ERR990695	ERR993539	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('[Clostridium] spiroforme', 0.4), ('Adlercreutzia equolifaciens', 0.3), ('Streptococcus thermophilus', 0.3)]	species-level reads support neither
ERR1654665	ERR2707016	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0368	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium chimaera', 0.0)]	species-level reads support B only
ERR1465891	ERR551297	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0284	None	[('Mycobacterium tuberculosis', 2.8), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1465863	ERR552121	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0303	None	[('Mycobacterium tuberculosis', 3.0), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR990680	ERR993533	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Clostridium sp. CL-2', 12.9), ('Streptococcus thermophilus', 0.2), ('Eubacterium limosum', 0.1)]	species-level reads support neither
ERR1199104	ERR1654649	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0338	None	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654649	ERR2706924	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0338	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1654669	ERR2707026	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.034	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1465729	ERR550695	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0282	None	[('Mycobacterium tuberculosis', 2.8), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR842809	ERR843273	PRJEB9004	PRJEB9031	uncultured archaeon	uncultured bacterium	same_genus	EXACT_md5	True	None	None	[('Pseudomonas stutzeri', 22.4), ('Bradyrhizobium japonicum', 13.4), ('Sphingobium sp. ba1', 4.7)]	untestable (no species-level claim on either side)
ERR1654650	ERR2706925	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.035	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR957227	ERR993555	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('[Eubacterium] rectale', 3.8), ('Bifidobacterium longum', 2.8), ('Fusicatenibacter saccharivorans', 2.5)]	species-level reads support neither
ERR1654677	ERR2707072	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0375	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Homo sapiens', 0.0)]	species-level reads support B only
ERR1199117	ERR1654705	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0365	None	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654705	ERR2707218	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0365	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR957234	ERR993599	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Faecalibacterium prausnitzii', 6.9), ('Mediterraneibacter faecis', 6.5), ('Phascolarctobacterium faecium', 3.6)]	species-level reads support neither
ERR1465865	ERR552013	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0312	None	[('Mycobacterium tuberculosis', 3.1), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1199126	ERR1654697	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0358	None	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654697	ERR2707168	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0358	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199121	ERR1654667	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0335	None	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Homo sapiens', 0.0)]	species-level reads support A only
ERR1654667	ERR2707022	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0335	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Homo sapiens', 0.0)]	species-level reads support B only
ERR1199124	ERR1654701	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.036	None	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654701	ERR2707193	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.036	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199093	ERR1654709	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0405	None	[('Mycobacterium tuberculosis', 4.1), ('Mycobacterium canettii', 0.3), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654685	ERR2707099	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0381	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR990701	ERR993544	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 0.3), ('Adlercreutzia equolifaciens', 0.1), ('Clostridium sp. SS2/1', 0.0)]	species-level reads support neither
ERR957237	ERR993601	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('[Eubacterium] rectale', 27.4), ('Fusicatenibacter saccharivorans', 5.4), ('Blautia wexlerae', 2.2)]	species-level reads support neither
ERR990698	ERR993541	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Clostridium sp. CL-2', 1.8), ('Streptococcus thermophilus', 1.4), ('[Clostridium] spiroforme', 0.4)]	species-level reads support neither
ERR1654652	ERR2706942	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0368	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1465838	ERR551269	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0292	None	[('Mycobacterium tuberculosis', 2.9), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR990674	ERR993530	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 7.5), ('Streptococcus pneumoniae', 0.2), ('Abiotrophia defectiva', 0.1)]	species-level reads support neither
ERR658163	ERR658172	PRJEB7570	PRJEB7572	Bacillus sp. DSM 5850	bacterium EM-17	same_higher_depth1	EXACT_md5	False	0.0	0.0	[('Escherichia coli', 2.4), ('Burkholderiales bacterium GJ-E10', 0.1), ('Endobacter medicaginis', 0.1)]	species-level reads support neither
ERR1199098	ERR1654682	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0358	None	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654682	ERR2707084	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0358	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199111	ERR1654654	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0348	None	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654654	ERR2706948	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0348	[('Mycobacterium tuberculosis', 3.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199103	ERR1654675	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0366	None	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654675	ERR2707060	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0366	[('Mycobacterium tuberculosis', 3.7), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1199128	ERR1654673	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0379	None	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654673	ERR2707053	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0379	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1465843	ERR552167	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0336	None	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR957231	ERR993557	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Phocaeicola vulgatus', 3.8), ('Fusicatenibacter saccharivorans', 3.5), ('Phocaeicola dorei', 3.5)]	species-level reads support neither
ERR1465862	ERR552168	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0312	None	[('Mycobacterium tuberculosis', 3.1), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1465845	ERR553130	PRJEB11460	PRJEB7727	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0753	None	[('Mycobacterium tuberculosis', 7.5), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1465870	ERR553039	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.031	None	[('Mycobacterium tuberculosis', 3.1), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR841746	ERR860900	PRJEB9004	PRJEB9112	uncultured archaeon	uncultured fungus	same_genus	EXACT_md5	True	None	None	[('Sarocladium kiliense', 30.8), ('Ophioceras dolichostomum', 0.0), ('Geoglobus ahangari', 0.0)]	untestable (no species-level claim on either side)
ERR990678	ERR993531	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 1.0), ('Ruminococcus sp. HUN007', 0.2), ('Collinsella sp. MS5', 0.1)]	species-level reads support neither
ERR1465839	ERR552031	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0283	None	[('Mycobacterium tuberculosis', 2.8), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1347771	ERR1543592	PRJEB13242	PRJEB14753	Mus musculus	Homo sapiens	same_higher_depth9	EXACT_md5	True	0.9376	0.0	[('Mus musculus', 93.8), ('Jaculus jaculus', 0.0), ('Acinetobacter ursingii', 0.0)]	species-level reads support A only
ERR1465723	ERR553239	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0303	None	[('Mycobacterium tuberculosis', 3.0), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR990686	ERR993537	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Clostridium sp. CL-2', 1.1), ('Slackia piriformis', 0.8), ('Faecalitalea cylindroides', 0.2)]	species-level reads support neither
ERR990715	ERR993549	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 6.2), ('Enterococcus faecium', 0.2), ('Streptococcus pneumoniae', 0.1)]	species-level reads support neither
ERR990711	ERR993548	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Collinsella sp. MS5', 0.2), ('Ruminococcus sp. HUN007', 0.1), ('Slackia piriformis', 0.1)]	species-level reads support neither
ERR1465983	ERR550902	PRJEB11460	PRJEB7727	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.075	None	[('Mycobacterium tuberculosis', 7.5), ('Mycobacterium canettii', 0.2), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654661	ERR2706993	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0342	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1465841	ERR552185	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0292	None	[('Mycobacterium tuberculosis', 2.9), ('Mycobacterium canettii', 0.0), ('Homo sapiens', 0.0)]	species-level reads support A only
ERR1465853	ERR550936	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0317	None	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR990684	ERR993536	PRJEB10578	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Clostridium sp. CL-2', 0.6), ('Adlercreutzia equolifaciens', 0.1), ('Streptococcus thermophilus', 0.1)]	species-level reads support neither
ERR957232	ERR993598	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Collinsella aerofaciens', 12.8), ('Romboutsia timonensis', 5.0), ('Mediterraneibacter faecis', 4.4)]	species-level reads support neither
ERR957238	ERR993602	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('[Eubacterium] rectale', 26.6), ('Collinsella aerofaciens', 6.8), ('Prevotella copri', 3.8)]	species-level reads support neither
ERR1465836	ERR551085	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0316	None	[('Mycobacterium tuberculosis', 3.2), ('Mycobacterium canettii', 0.0), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654674	ERR2707057	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0356	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR1654668	ERR2707024	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0296	[('Mycobacterium tuberculosis', 3.0), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support B only
ERR1199115	ERR1654707	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.038	None	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1654707	ERR2707224	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.038	[('Mycobacterium tuberculosis', 3.8), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support B only
ERR957228	ERR993596	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Streptococcus thermophilus', 0.9), ('Clostridium sp. SS2/1', 0.7), ('[Eubacterium] dolichum', 0.1)]	species-level reads support neither
ERR957230	ERR993597	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Fusicatenibacter saccharivorans', 10.0), ('[Eubacterium] rectale', 8.3), ('Anaerostipes hadrus', 3.7)]	species-level reads support neither
ERR1465889	ERR551058	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0293	None	[('Mycobacterium tuberculosis', 2.9), ('Mycobacterium canettii', 0.0), ('Mycobacterium africanum', 0.0)]	species-level reads support A only
ERR957224	ERR993553	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('[Eubacterium] rectale', 27.1), ('Bifidobacterium longum', 17.5), ('Blautia wexlerae', 1.3)]	species-level reads support neither
ERR957236	ERR993559	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Fusicatenibacter saccharivorans', 7.7), ('Bifidobacterium longum', 4.6), ('Collinsella aerofaciens', 3.6)]	species-level reads support neither
ERR1465885	ERR553087	PRJEB11460	PRJEB9545	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.066	None	[('Mycobacterium tuberculosis', 6.6), ('Mycobacterium canettii', 0.3), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR957222	ERR993552	PRJEB9815	PRJEB10590	Bacteria aborigena	Bacteria ambigua	same_genus	EXACT_md5	True	0.0	0.0	[('Faecalibacterium prausnitzii', 5.5), ('Fusicatenibacter saccharivorans', 3.6), ('Gemmiger formicilis', 2.8)]	species-level reads support neither
ERR1199112	ERR1654662	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0335	None	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support A only
ERR1654662	ERR2707008	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0335	[('Mycobacterium tuberculosis', 3.4), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support B only
ERR1465881	ERR550631	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.069	None	[('Mycobacterium tuberculosis', 6.9), ('Mycobacterium canettii', 0.3), ('Mycobacterium abscessus', 0.1)]	species-level reads support A only
ERR1465967	ERR551130	PRJEB11460	PRJEB9680	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.044	None	[('Mycobacterium tuberculosis', 4.4), ('Mycobacterium canettii', 0.1), ('Listeria monocytogenes', 0.0)]	species-level reads support A only
ERR1465726	ERR552017	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0416	None	[('Mycobacterium tuberculosis', 4.2), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1465864	ERR550666	PRJEB11460	PRJEB6273	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	False	0.0327	None	[('Mycobacterium tuberculosis', 3.3), ('Mycobacterium canettii', 0.1), ('Mycobacterium bovis', 0.0)]	species-level reads support A only
ERR1199100	ERR1654678	PRJEB11460	PRJEB15463	Mycobacterium tuberculosis	Mycobacterium tuberculosis complex sp.	same_genus	EXACT_md5	True	0.0358	None	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support A only
ERR1654678	ERR2707074	PRJEB15463	PRJEB27847	Mycobacterium tuberculosis complex sp.	Mycobacterium tuberculosis	same_genus	EXACT_md5	False	None	0.0358	[('Mycobacterium tuberculosis', 3.6), ('Mycobacterium canettii', 0.1), ('Mycobacterium africanum', 0.0)]	species-level reads support B only
